in s,C1 in V
-4.904000E-04,4.39453E-02
-4.903904E-04,9.27734E-02
-4.903808E-04,8.30078E-02
-4.903712E-04,1.02539E-01
-4.903616E-04,6.34766E-02
-4.903520E-04,4.39453E-02
-4.903424E-04,6.34766E-02
-4.903328E-04,7.32422E-02
-4.903232E-04,5.37109E-02
-4.903136E-04,5.37109E-02
-4.903040E-04,7.32422E-02
-4.902944E-04,6.34766E-02
-4.902848E-04,3.41797E-02
-4.902752E-04,7.32422E-02
-4.902656E-04,9.27734E-02
-4.902560E-04,7.32422E-02
-4.902464E-04,4.39453E-02
-4.902368E-04,6.34766E-02
-4.902272E-04,5.37109E-02
-4.902176E-04,7.32422E-02
-4.902080E-04,1.12305E-01
-4.901984E-04,5.37109E-02
-4.901888E-04,7.32422E-02
-4.901792E-04,9.27734E-02
-4.901696E-04,6.34766E-02
-4.901600E-04,8.30078E-02
-4.901504E-04,6.34766E-02
-4.901408E-04,8.30078E-02
-4.901312E-04,7.32422E-02
-4.901216E-04,8.30078E-02
-4.901120E-04,6.34766E-02
-4.901024E-04,7.32422E-02
-4.900928E-04,6.34766E-02
-4.900832E-04,6.34766E-02
-4.900736E-04,6.34766E-02
-4.900640E-04,7.32422E-02
-4.900544E-04,6.34766E-02
-4.900448E-04,7.32422E-02
-4.900352E-04,9.27734E-02
-4.900256E-04,5.37109E-02
-4.900160E-04,4.39453E-02
-4.900064E-04,4.39453E-02
-4.899968E-04,7.32422E-02
-4.899872E-04,6.34766E-02
-4.899776E-04,6.34766E-02
-4.899680E-04,7.32422E-02
-4.899584E-04,6.34766E-02
-4.899488E-04,8.30078E-02
-4.899392E-04,8.30078E-02
-4.899296E-04,7.32422E-02
-4.899200E-04,6.34766E-02
-4.899104E-04,7.32422E-02
-4.899008E-04,4.39453E-02
-4.898912E-04,1.12305E-01
-4.898816E-04,6.34766E-02
-4.898720E-04,7.32422E-02
-4.898624E-04,5.37109E-02
-4.898528E-04,7.32422E-02
-4.898432E-04,3.41797E-02
-4.898336E-04,1.02539E-01
-4.898240E-04,8.30078E-02
-4.898144E-04,6.34766E-02
-4.898048E-04,6.34766E-02
-4.897952E-04,1.02539E-01
-4.897856E-04,5.37109E-02
-4.897760E-04,1.22070E-01
-4.897664E-04,4.39453E-02
-4.897568E-04,7.32422E-02
-4.897472E-04,7.32422E-02
-4.897376E-04,7.32422E-02
-4.897280E-04,6.34766E-02
-4.897184E-04,8.30078E-02
-4.897088E-04,5.37109E-02
-4.896992E-04,8.30078E-02
-4.896896E-04,7.32422E-02
-4.896800E-04,7.32422E-02
-4.896704E-04,5.37109E-02
-4.896608E-04,6.34766E-02
-4.896512E-04,7.32422E-02
-4.896416E-04,7.32422E-02
-4.896320E-04,4.39453E-02
-4.896224E-04,4.39453E-02
-4.896128E-04,1.22070E-01
-4.896032E-04,1.12305E-01
-4.895936E-04,6.34766E-02
-4.895840E-04,7.32422E-02
-4.895744E-04,7.32422E-02
-4.895648E-04,8.30078E-02
-4.895552E-04,8.30078E-02
-4.895456E-04,7.32422E-02
-4.895360E-04,6.34766E-02
-4.895264E-04,7.32422E-02
-4.895168E-04,1.12305E-01
-4.895072E-04,6.34766E-02
-4.894976E-04,6.34766E-02
-4.894880E-04,7.32422E-02
-4.894784E-04,9.27734E-02
-4.894688E-04,6.34766E-02
-4.894592E-04,4.39453E-02
-4.894496E-04,7.32422E-02
-4.894400E-04,6.34766E-02
-4.894304E-04,9.27734E-02
-4.894208E-04,6.34766E-02
-4.894112E-04,5.37109E-02
-4.894016E-04,9.27734E-02
-4.893920E-04,9.27734E-02
-4.893824E-04,4.39453E-02
-4.893728E-04,5.37109E-02
-4.893632E-04,7.32422E-02
-4.893536E-04,1.12305E-01
-4.893440E-04,8.30078E-02
-4.893344E-04,4.39453E-02
-4.893248E-04,5.37109E-02
-4.893152E-04,6.34766E-02
-4.893056E-04,8.30078E-02
-4.892960E-04,7.32422E-02
-4.892864E-04,8.30078E-02
-4.892768E-04,7.32422E-02
-4.892672E-04,6.34766E-02
-4.892576E-04,7.32422E-02
-4.892480E-04,7.32422E-02
-4.892384E-04,6.34766E-02
-4.892288E-04,8.30078E-02
-4.892192E-04,4.39453E-02
-4.892096E-04,5.37109E-02
-4.892000E-04,7.32422E-02
-4.891904E-04,8.30078E-02
-4.891808E-04,1.02539E-01
-4.891712E-04,6.34766E-02
-4.891616E-04,6.34766E-02
-4.891520E-04,7.32422E-02
-4.891424E-04,7.32422E-02
-4.891328E-04,8.30078E-02
-4.891232E-04,6.34766E-02
-4.891136E-04,5.37109E-02
-4.891040E-04,6.34766E-02
-4.890944E-04,9.27734E-02
-4.890848E-04,7.32422E-02
-4.890752E-04,6.34766E-02
-4.890656E-04,1.22070E-01
-4.890560E-04,8.30078E-02
-4.890464E-04,6.34766E-02
-4.890368E-04,8.30078E-02
-4.890272E-04,8.30078E-02
-4.890176E-04,6.34766E-02
-4.890080E-04,9.27734E-02
-4.889984E-04,5.37109E-02
-4.889888E-04,7.32422E-02
-4.889792E-04,1.02539E-01
-4.889696E-04,7.32422E-02
-4.889600E-04,7.32422E-02
-4.889504E-04,7.32422E-02
-4.889408E-04,6.34766E-02
-4.889312E-04,7.32422E-02
-4.889216E-04,6.34766E-02
-4.889120E-04,1.12305E-01
-4.889024E-04,6.34766E-02
-4.888928E-04,6.34766E-02
-4.888832E-04,6.34766E-02
-4.888736E-04,7.32422E-02
-4.888640E-04,9.27734E-02
-4.888544E-04,7.32422E-02
-4.888448E-04,7.32422E-02
-4.888352E-04,1.02539E-01
-4.888256E-04,7.32422E-02
-4.888160E-04,9.27734E-02
-4.888064E-04,8.30078E-02
-4.887968E-04,1.12305E-01
-4.887872E-04,9.27734E-02
-4.887776E-04,7.32422E-02
