in s,C3 in V
-1.0904000E-03,2.24609E-02
-1.0903808E-03,1.26953E-02
-1.0903616E-03,-3.61328E-02
-1.0903424E-03,2.92969E-03
-1.0903232E-03,-6.83594E-03
-1.0903040E-03,-1.66016E-02
-1.0902848E-03,3.22266E-02
-1.0902656E-03,-6.83594E-03
-1.0902464E-03,1.26953E-02
-1.0902272E-03,-6.83594E-03
-1.0902080E-03,-6.83594E-03
-1.0901888E-03,1.26953E-02
-1.0901696E-03,4.19922E-02
-1.0901504E-03,2.92969E-03
-1.0901312E-03,-6.83594E-03
-1.0901120E-03,-2.63672E-02
-1.0900928E-03,2.92969E-03
-1.0900736E-03,-6.83594E-03
-1.0900544E-03,1.26953E-02
-1.0900352E-03,-6.83594E-03
-1.0900160E-03,2.24609E-02
-1.0899968E-03,3.22266E-02
-1.0899776E-03,-6.83594E-03
-1.0899584E-03,2.24609E-02
-1.0899392E-03,-6.83594E-03
-1.0899200E-03,2.24609E-02
-1.0899008E-03,-6.83594E-03
-1.0898816E-03,2.24609E-02
-1.0898624E-03,2.92969E-03
-1.0898432E-03,-6.83594E-03
-1.0898240E-03,-6.83594E-03
-1.0898048E-03,-6.83594E-03
-1.0897856E-03,2.92969E-03
-1.0897664E-03,-1.66016E-02
-1.0897472E-03,-6.83594E-03
-1.0897280E-03,-6.83594E-03
-1.0897088E-03,2.92969E-03
-1.0896896E-03,2.92969E-03
-1.0896704E-03,-6.83594E-03
-1.0896512E-03,3.22266E-02
-1.0896320E-03,-6.83594E-03
-1.0896128E-03,-3.61328E-02
-1.0895936E-03,-6.83594E-03
-1.0895744E-03,2.92969E-03
-1.0895552E-03,2.24609E-02
-1.0895360E-03,2.92969E-03
-1.0895168E-03,-6.83594E-03
-1.0894976E-03,-2.63672E-02
-1.0894784E-03,1.26953E-02
-1.0894592E-03,-6.83594E-03
-1.0894400E-03,-6.83594E-03
-1.0894208E-03,-6.83594E-03
-1.0894016E-03,2.92969E-03
-1.0893824E-03,-6.83594E-03
-1.0893632E-03,1.26953E-02
-1.0893440E-03,2.92969E-03
-1.0893248E-03,-6.83594E-03
-1.0893056E-03,-6.83594E-03
-1.0892864E-03,2.92969E-03
-1.0892672E-03,-6.83594E-03
-1.0892480E-03,2.92969E-03
-1.0892288E-03,2.92969E-03
-1.0892096E-03,2.24609E-02
-1.0891904E-03,1.26953E-02
-1.0891712E-03,-1.66016E-02
-1.0891520E-03,-6.83594E-03
-1.0891328E-03,2.92969E-03
-1.0891136E-03,-6.83594E-03
-1.0890944E-03,-6.83594E-03
-1.0890752E-03,1.26953E-02
