in s,C1 in V
-1.1483744E-03,2.92969E-03
-1.1483560E-03,-2.63672E-02
-1.1483376E-03,1.26953E-02
-1.1483192E-03,-6.83594E-03
-1.1483008E-03,2.24609E-02
-1.1482824E-03,2.92969E-03
-1.1482640E-03,1.26953E-02
-1.1482456E-03,2.92969E-03
-1.1482272E-03,-6.83594E-03
-1.1482088E-03,-6.83594E-03
-1.1481904E-03,3.22266E-02
-1.1481720E-03,2.92969E-03
-1.1481536E-03,2.24609E-02
-1.1481352E-03,-6.83594E-03
-1.1481168E-03,-6.83594E-03
-1.1480984E-03,1.26953E-02
-1.1480800E-03,-1.66016E-02
-1.1480616E-03,3.22266E-02
-1.1480432E-03,-6.83594E-03
-1.1480248E-03,2.24609E-02
-1.1480064E-03,2.92969E-03
-1.1479880E-03,-6.83594E-03
-1.1479696E-03,-6.83594E-03
-1.1479512E-03,2.92969E-03
-1.1479328E-03,1.26953E-02
-1.1479144E-03,2.92969E-03
-1.1478960E-03,3.22266E-02
-1.1478776E-03,-2.63672E-02
-1.1478592E-03,3.22266E-02
-1.1478408E-03,1.26953E-02
-1.1478224E-03,-6.83594E-03
-1.1478040E-03,2.24609E-02
-1.1477856E-03,2.24609E-02
-1.1477672E-03,-2.63672E-02
-1.1477488E-03,-6.83594E-03
-1.1477304E-03,2.24609E-02
-1.1477120E-03,2.92969E-03
-1.1476936E-03,2.92969E-03
-1.1476752E-03,2.24609E-02
-1.1476568E-03,-6.83594E-03
-1.1476384E-03,-6.83594E-03
-1.1476200E-03,-1.66016E-02
-1.1476016E-03,2.24609E-02
-1.1475832E-03,1.26953E-02
-1.1475648E-03,2.92969E-03
-1.1475464E-03,-6.83594E-03
-1.1475280E-03,-6.83594E-03
-1.1475096E-03,2.92969E-03
-1.1474912E-03,-6.83594E-03
-1.1474728E-03,-6.83594E-03
-1.1474544E-03,3.22266E-02
-1.1474360E-03,2.92969E-03
-1.1474176E-03,1.26953E-02
-1.1473992E-03,2.24609E-02
-1.1473808E-03,-2.63672E-02
-1.1473624E-03,2.92969E-03
-1.1473440E-03,2.92969E-03
-1.1473256E-03,-2.63672E-02
-1.1473072E-03,-1.66016E-02
