in s,C1 in V
-6.9504E-06,2.98145E+00
-6.9496E-06,3.00098E+00
-6.9488E-06,2.96191E+00
-6.9480E-06,2.99121E+00
-6.9472E-06,2.98145E+00
-6.9464E-06,2.97168E+00
-6.9456E-06,2.97168E+00
-6.9448E-06,2.99121E+00
-6.9440E-06,2.99121E+00
-6.9432E-06,2.97168E+00
-6.9424E-06,3.03027E+00
-6.9416E-06,2.97168E+00
-6.9408E-06,3.00098E+00
-6.9400E-06,2.97168E+00
-6.9392E-06,3.01074E+00
-6.9384E-06,3.03027E+00
-6.9376E-06,3.00098E+00
-6.9368E-06,3.00098E+00
-6.9360E-06,2.98145E+00
-6.9352E-06,2.98145E+00
-6.9344E-06,3.03027E+00
-6.9336E-06,2.99121E+00
-6.9328E-06,2.99121E+00
-6.9320E-06,2.97168E+00
-6.9312E-06,2.99121E+00
-6.9304E-06,3.00098E+00
-6.9296E-06,2.99121E+00
-6.9288E-06,3.00098E+00
-6.9280E-06,3.00098E+00
-6.9272E-06,3.02051E+00
-6.9264E-06,2.98145E+00
-6.9256E-06,3.00098E+00
-6.9248E-06,2.97168E+00
-6.9240E-06,3.00098E+00
-6.9232E-06,2.97168E+00
-6.9224E-06,3.00098E+00
-6.9216E-06,3.00098E+00
-6.9208E-06,3.04980E+00
-6.9200E-06,3.01074E+00
-6.9192E-06,2.99121E+00
-6.9184E-06,3.00098E+00
-6.9176E-06,3.00098E+00
-6.9168E-06,3.00098E+00
-6.9160E-06,3.01074E+00
-6.9152E-06,2.97168E+00
-6.9144E-06,2.98145E+00
-6.9136E-06,3.00098E+00
-6.9128E-06,3.00098E+00
-6.9120E-06,2.97168E+00
-6.9112E-06,3.01074E+00
-6.9104E-06,3.00098E+00
-6.9096E-06,3.03027E+00
-6.9088E-06,3.01074E+00
-6.9080E-06,3.02051E+00
-6.9072E-06,3.01074E+00
-6.9064E-06,3.03027E+00
-6.9056E-06,3.00098E+00
-6.9048E-06,3.03027E+00
-6.9040E-06,3.00098E+00
-6.9032E-06,3.01074E+00
-6.9024E-06,3.00098E+00
-6.9016E-06,2.99121E+00
-6.9008E-06,3.02051E+00
-6.9000E-06,3.02051E+00
-6.8992E-06,3.01074E+00
-6.8984E-06,3.02051E+00
-6.8976E-06,2.98145E+00
-6.8968E-06,3.00098E+00
-6.8960E-06,3.00098E+00
-6.8952E-06,2.98145E+00
-6.8944E-06,3.04004E+00
-6.8936E-06,3.02051E+00
-6.8928E-06,2.98145E+00
-6.8920E-06,3.02051E+00
-6.8912E-06,2.97168E+00
-6.8904E-06,3.03027E+00
-6.8896E-06,3.02051E+00
-6.8888E-06,3.03027E+00
-6.8880E-06,3.01074E+00
-6.8872E-06,3.00098E+00
-6.8864E-06,3.02051E+00
-6.8856E-06,3.00098E+00
-6.8848E-06,3.01074E+00
-6.8840E-06,3.00098E+00
-6.8832E-06,3.02051E+00
-6.8824E-06,3.03027E+00
-6.8816E-06,2.99121E+00
-6.8808E-06,3.01074E+00
-6.8800E-06,3.01074E+00
-6.8792E-06,3.04004E+00
-6.8784E-06,3.00098E+00
-6.8776E-06,3.05957E+00
-6.8768E-06,3.04004E+00
-6.8760E-06,3.04004E+00
-6.8752E-06,3.01074E+00
-6.8744E-06,3.02051E+00
-6.8736E-06,3.01074E+00
-6.8728E-06,3.04004E+00
-6.8720E-06,3.03027E+00
-6.8712E-06,3.04004E+00
-6.8704E-06,3.02051E+00
-6.8696E-06,3.00098E+00
-6.8688E-06,3.03027E+00
-6.8680E-06,2.98145E+00
-6.8672E-06,3.04004E+00
-6.8664E-06,3.04004E+00
-6.8656E-06,3.01074E+00
-6.8648E-06,3.01074E+00
-6.8640E-06,3.03027E+00
-6.8632E-06,3.03027E+00
-6.8624E-06,3.01074E+00
-6.8616E-06,3.04004E+00
-6.8608E-06,3.04004E+00
-6.8600E-06,3.01074E+00
-6.8592E-06,3.02051E+00
-6.8584E-06,3.04980E+00
-6.8576E-06,3.04004E+00
-6.8568E-06,3.01074E+00
-6.8560E-06,3.02051E+00
-6.8552E-06,3.03027E+00
-6.8544E-06,3.02051E+00
-6.8536E-06,3.02051E+00
-6.8528E-06,3.03027E+00
-6.8520E-06,3.04004E+00
-6.8512E-06,3.02051E+00
-6.8504E-06,3.03027E+00
-6.8496E-06,3.02051E+00
-6.8488E-06,3.03027E+00
-6.8480E-06,3.02051E+00
-6.8472E-06,3.01074E+00
-6.8464E-06,3.02051E+00
-6.8456E-06,3.04980E+00
-6.8448E-06,3.05957E+00
-6.8440E-06,3.03027E+00
-6.8432E-06,3.01074E+00
-6.8424E-06,3.02051E+00
-6.8416E-06,3.04004E+00
-6.8408E-06,3.04004E+00
-6.8400E-06,3.03027E+00
-6.8392E-06,3.03027E+00
-6.8384E-06,3.04004E+00
-6.8376E-06,2.98145E+00
-6.8368E-06,3.04004E+00
-6.8360E-06,3.02051E+00
-6.8352E-06,3.04004E+00
-6.8344E-06,3.04004E+00
-6.8336E-06,3.01074E+00
-6.8328E-06,3.04004E+00
-6.8320E-06,3.00098E+00
-6.8312E-06,3.02051E+00
-6.8304E-06,3.02051E+00
-6.8296E-06,3.04004E+00
-6.8288E-06,3.01074E+00
-6.8280E-06,3.03027E+00
-6.8272E-06,3.03027E+00
-6.8264E-06,3.04004E+00
-6.8256E-06,3.01074E+00
-6.8248E-06,3.00098E+00
-6.8240E-06,3.04004E+00
-6.8232E-06,3.04004E+00
-6.8224E-06,3.02051E+00
-6.8216E-06,3.06934E+00
-6.8208E-06,3.02051E+00
-6.8200E-06,3.02051E+00
-6.8192E-06,3.03027E+00
-6.8184E-06,3.00098E+00
-6.8176E-06,3.01074E+00
-6.8168E-06,3.03027E+00
-6.8160E-06,3.05957E+00
-6.8152E-06,3.02051E+00
-6.8144E-06,3.04004E+00
-6.8136E-06,3.03027E+00
-6.8128E-06,3.04004E+00
-6.8120E-06,3.04004E+00
-6.8112E-06,3.02051E+00
-6.8104E-06,3.06934E+00
-6.8096E-06,3.02051E+00
-6.8088E-06,3.02051E+00
-6.8080E-06,3.05957E+00
-6.8072E-06,3.04004E+00
-6.8064E-06,3.04004E+00
-6.8056E-06,3.03027E+00
-6.8048E-06,3.04980E+00
